Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
MW139702,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND18/172_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-10-18,2022-03-20,ssRNA(+)
MW139703,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND18/176_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-10-17,2022-03-20,ssRNA(+)
MW139704,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND18/177_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-10-20,2022-03-20,ssRNA(+)
MW139705,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND18/187_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-10-25,2022-03-20,ssRNA(+)
MW139706,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND18/189_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-10-20,2022-03-20,ssRNA(+)
MW139707,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND18/216_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-10-28,2022-03-20,ssRNA(+)
MW139708,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND18/227_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-11-02,2022-03-20,ssRNA(+)
MW139709,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND18/230_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-11-02,2022-03-20,ssRNA(+)
MW139710,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND18/235_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-11-03,2022-03-20,ssRNA(+)
MW139711,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND18/237_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-11-02,2022-03-20,ssRNA(+)
MW139712,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/538_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-07-03,2022-03-20,ssRNA(+)
MW139713,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/664_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-07-25,2022-03-20,ssRNA(+)
MW139714,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/668_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-07-27,2022-03-20,ssRNA(+)
MW139715,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/701_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-07-30,2022-03-20,ssRNA(+)
MW139716,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/704_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-07-31,2022-03-20,ssRNA(+)
MW139717,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/742_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-08-12,2022-03-20,ssRNA(+)
MW139718,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/1011_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-09-28,2022-03-20,ssRNA(+)
MW139719,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/1026_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-10-06,2022-03-20,ssRNA(+)
MW139720,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/1034_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-10-02,2022-03-20,ssRNA(+)
MW139721,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/1074_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-10-15,2022-03-20,ssRNA(+)
MW139722,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/1082_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-10-12,2022-03-20,ssRNA(+)
MW139723,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/1086_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-10-20,2022-03-20,ssRNA(+)
MW139724,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/1148_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-10-26,2022-03-20,ssRNA(+)
MW139725,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/1150_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-10-27,2022-03-20,ssRNA(+)
MW139726,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/1161_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-11-05,2022-03-20,ssRNA(+)
MW139727,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/1223_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-11-12,2022-03-20,ssRNA(+)
MW139728,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/1225_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-11-14,2022-03-20,ssRNA(+)
MW139729,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/1289_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-11-22,2022-03-20,ssRNA(+)
MW139730,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/1290_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-11-23,2022-03-20,ssRNA(+)
MW139731,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS18/1295_VNM_2018,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-11-25,2022-03-20,ssRNA(+)
MW139732,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND19/01_VNM_2019,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2019-01-02,2022-03-20,ssRNA(+)
MW139733,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND19/02_VNM_2019,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2019-01-02,2022-03-20,ssRNA(+)
MW139734,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND19/09_VNM_2019,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2019-01-02,2022-03-20,ssRNA(+)
MW139735,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND19/21_VNM_2019,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2019-01-17,2022-03-20,ssRNA(+)
MW139736,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND19/34_VNM_2019,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2019-02-08,2022-03-20,ssRNA(+)
MW139737,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND19/53_VNM_2019,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2019-04-05,2022-03-20,ssRNA(+)
MW139738,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND19/56_VNM_2019,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2019-04-12,2022-03-20,ssRNA(+)
MW139739,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS19/275_VNM_2019,891,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2019-03-19,2022-03-20,ssRNA(+)
MW139740,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS19/359_VNM_2019,807,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2019-04-12,2022-03-20,ssRNA(+)
MW139741,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS19/42_VNM_2019,462,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2019-01-11,2022-03-20,ssRNA(+)
MW139742,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS19/107_VNM_2019,462,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2019-01-23,2022-03-20,ssRNA(+)
MW139743,Enterovirus A71,Enterovirus alphacoxsackie,C4,GS19/329_VNM_2019,462,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2019-04-02,2022-03-20,ssRNA(+)
MW139744,Enterovirus A71,Enterovirus alphacoxsackie,C4,VND18/233_VNM_2018,801,partial,Viet Nam,Homo sapiens,feces,"Golitsyna,L.N., Nguyen,T.T.T., Romanenkova,N.I., Ponomareva,N.V., Kanaeva,O.I., Leonov,A.V., Zverev,V.V., Kashnikov,A.Y., Rozaeva,N.R., Bichurina,M.A., Novikova,N.A.",2018-11-03,2022-03-20,ssRNA(+)
MW132442,Enterovirus A71,Enterovirus alphacoxsackie,C1,175/19 Omsk_RUS_2018,873,partial,Russia,Homo sapiens,,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2018-08-24,2022-03-15,ssRNA(+)
MW132443,Enterovirus A71,Enterovirus alphacoxsackie,C1,176/19 Omsk_RUS_2018,891,partial,Russia,Homo sapiens,,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2018-09-30,2022-03-15,ssRNA(+)
MW132444,Enterovirus A71,Enterovirus alphacoxsackie,C1,177/19 Omsk_RUS_2018,873,partial,Russia,Homo sapiens,,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2018-09-30,2022-03-15,ssRNA(+)
MW132445,Enterovirus A71,Enterovirus alphacoxsackie,C1,179/19 Omsk_RUS_2018,879,partial,Russia,Homo sapiens,,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2018-09-30,2022-03-15,ssRNA(+)
MW132446,Enterovirus A71,Enterovirus alphacoxsackie,C1,181/19 HMAO_RUS_2018,873,partial,Russia,Homo sapiens,,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2018,2022-03-15,ssRNA(+)
MW132447,Enterovirus A71,Enterovirus alphacoxsackie,C1,182/19 Omsk_RUS_2018,879,partial,Russia,Homo sapiens,,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2018-12-16,2022-03-15,ssRNA(+)
MW132448,Enterovirus A71,Enterovirus alphacoxsackie,C1,183/19 Omsk_RUS_2018,873,partial,Russia,Homo sapiens,,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2018-12-16,2022-03-15,ssRNA(+)
MW132449,Enterovirus A71,Enterovirus alphacoxsackie,C1,2095_Bashkortostan_RUS_2016,891,partial,Russia,Homo sapiens,,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2016-08-17,2022-03-15,ssRNA(+)
MW132450,Enterovirus A71,Enterovirus alphacoxsackie,C1,2938_SPb_RUS_2018,891,partial,Russia,Homo sapiens,,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2018-10-26,2022-03-15,ssRNA(+)
MW132451,Enterovirus A71,Enterovirus alphacoxsackie,C1,1677_Stavropol_RUS_2019,891,partial,Russia,Homo sapiens,feces,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2019,2022-03-15,ssRNA(+)
MW132452,Enterovirus A71,Enterovirus alphacoxsackie,C1,2170_Stavropol_RUS_2019,891,partial,Russia,Homo sapiens,feces,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2019,2022-03-15,ssRNA(+)
MW132453,Enterovirus A71,Enterovirus alphacoxsackie,C1,2684_Novgorod_RUS_2019,891,partial,Russia,Homo sapiens,,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2019-11-13,2022-03-15,ssRNA(+)
MW132454,Enterovirus A71,Enterovirus alphacoxsackie,C2,1405_Smolensk_RUS_2015,891,partial,Russia,Homo sapiens,feces,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2015-08-02,2022-03-15,ssRNA(+)
MW132455,Enterovirus A71,Enterovirus alphacoxsackie,C2,2534_Kalinigrad_RUS_2015,891,partial,Russia,Homo sapiens,feces,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2015-08-28,2022-03-15,ssRNA(+)
MW132456,Enterovirus A71,Enterovirus alphacoxsackie,C4,1319_Voronezh_RUS_2015,891,partial,Russia,Homo sapiens,feces,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2015-07-20,2022-03-15,ssRNA(+)
MW132457,Enterovirus A71,Enterovirus alphacoxsackie,C4,1921_Rostov_RUS_2015,891,partial,Russia,Homo sapiens,feces,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2015-07-22,2022-03-15,ssRNA(+)
MW132458,Enterovirus A71,Enterovirus alphacoxsackie,C4,1651_Kursk_2014,891,partial,Russia,Homo sapiens,oronasopharynx,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2014-07-18,2022-03-15,ssRNA(+)
MW132459,Enterovirus A71,Enterovirus alphacoxsackie,C4,587_Omsk_RUS_2016,891,partial,Russia,Homo sapiens,,"Golitsyna,L.N., Ponomareva,N.V., Zverev,V.V., Leonov,A.V., Novikova,N.A.",2016,2022-03-15,ssRNA(+)
MW028359,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,1013Y1/China/Henan/EVA71/20170318,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028360,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,1102Y1/China/Henan/EVA71/20170713,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028361,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,1154Y1/China/Henan/EVA71/20170718,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028362,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,1169Y1/China/Henan/EVA71/20170719,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028363,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,1199Y1/China/Henan/EVA71/20170721,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028364,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,1390Y1/China/Henan/EVA71/20170811,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028365,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,1440Y1/China/Henan/EVA71/20170819,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028366,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,1519Y1/China/Henan/EVA71/20170829,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028367,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,1711Y1/China/Henan/EVA71/20170921,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028368,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,1812Y1/China/Henan/EVA71/20171009,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028369,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,1937Y1/China/Henan/EVA71/20171026,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028370,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,1964Y1/China/Henan/EVA71/20171027,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028371,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,2001Y1/China/Henan/EVA71/20170228,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028372,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,2009Y1/China/Henan/EVA71/20170317,411,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028373,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,2223Y1/China/Henan/EVA71/20171115,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028374,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,2285Y1/China/Henan/EVA71/20171125,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028375,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,2300Y1/China/Henan/EVA71/20171127,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028376,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,2305Y1/China/Henan/EVA71/20171127,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028377,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,2337Y1/China/Henan/EVA71/20171202,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028378,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,2351Y1/China/Henan/EVA71/20171203,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
MW028379,Enterovirus A71,Enterovirus alphacoxsackie,EV-A71,2422Y1/China/Henan/EVA71/20171218,449,partial,China,Homo sapiens,oronasopharynx,"Yu,H., Zhou,Y.",2018,2022-02-06,ssRNA(+)
